;Clase;Mensaje
19;información;¿El destinatario puede cambiar la dirección del envío?
39;información;¿Puedo cobrar un giro en cualquier sucursal de Chilexpress?
9;despedida;Bye
59;información;¿Cómo obtengo mi usuario y contraseña de cliente empresa Chilexpress?
51;información;¿Cómo programo los retiros habituales?
24;información;¿Qué es un envío sobredimensionado?
53;información;Al generar un envío masivo, ¿cómo obtengo la Orden de Transporte?
31;información;¿Puedo enviar un documento o encomienda a otro país a través de Chilexpress?
38;información;¿En cuánto tiempo está disponible un giro para retiro?
42;información;¿Qué es el MTCN?
13;nombre;Me llamo
25;información;¿Cuánto cuesta un envío sobredimensionado?
26;información;¿Existen restricciones en los tiempos de entrega para un envío sobredimensionado?
32;información;¿Qué requisito debe cumplir un envío internacional para que sea entregado en el destino?
44;información;Hice un giro online pero ingresé mal el nombre del destinatario ¿cómo puedo corregirlo?
18;información;¿Puedo cambiar el destino del envío desde una dirección particular a una sucursal de Chilexpress?
29;información;¿Cómo puedo hacer seguimiento de un envío?
35;información;¿Cuáles son los medios de pago de los servicios online?
5;despedida;Chao
10;nombre;Mi nombre es
47;información;¿Qué debe hacer el destinatario para retirar su envío por pagar?
45;información;¿Puedo ir a retirar una encomienda a cualquier oficina de Chilexpress?
6;despedida;Adios
58;información;¿Sólo las empresas pueden tener una cuenta con Chilexpress?
40;información;Si me envían un giro en dólares ¿en qué moneda lo retiro?
3;saludo;Buenas tardes
55;información;¿Cuánto tiempo tarda en ser habilitada mi cuenta empresa Chilexpress?
49;información;¿Qué sucursales no están habilitadas para recibir un envío por pagar?
21;información;¿Qué pasa si el destinatario no puede recibir el envío en su dirección?
17;información;¿Se puede modificar la dirección de envío?
7;despedida;Hasta luego
30;información;¿Puedo hacer seguimiento a un envío sin la orden de transporte?
56;información;¿Cuál es el costo mínimo mensual de la cuenta empresa Chilexpress?
22;información;¿Cuántos intentos de entrega en el domicilio realiza Chilexpress, antes de devolver un envío al remitente?
15;información;¿Cuál es el plazo para retirar un envío desde una sucursal de Chilexpress?
14;información;¿Qué es la Orden de Transporte (OT)?
20;información;Si el destinatario no se encuentra en la dirección de envío, ¿puede recibirlo otra persona?
8;despedida;Nos vemos
43;información;Si hice un Giro online y no he recibido el MTCN, ¿puedo solicitarlo por teléfono?
36;información;¿Es necesario ser cliente con cuenta Chilexpress para acceder a los servicios online?
28;información;¿Dónde puedo revisar las normas nacionales e internacionales de un envío?
11;nombre;Mi usuario es
46;información;¿Puedo ir a retirar un documento a cualquier oficina de Chilexpress?
12;nombre;Yo soy
23;información;¿Chilexpress solicita el RUT del destinatario para realizar un envío desde una sucursal?
54;información;¿Cómo puedo abrir una cuenta empresa con Chilexpress?
33;información;¿Cuáles son los plazos de entrega asociados a un envío internacional?
1;saludo;Hi
